DateTime,RIST_MAKS_SP_LAST,RIST_AUTO_DIFF_SP_LAST(cm),RIST_FALLTAP_PV(cm),RIST_MAKS_PADRAG_SP_LAST(%),RIST_AUTT_DIFF_TM_PV(cm)
2024-01-04 00:00:00,5.0,70.0,65.83167394033333,80.0,70.0
2024-01-04 01:00:00,5.0,70.0,56.56577216233333,80.0,70.0
2024-01-04 02:00:00,5.0,70.0,52.5330946185,80.0,70.0
2024-01-04 03:00:00,5.0,70.0,53.770529429350006,80.0,70.0
2024-01-04 04:00:00,5.0,70.0,35.963132645516666,80.0,70.0
2024-01-04 05:00:00,5.0,70.0,14.48135587906667,80.0,70.0
2024-01-04 06:00:00,5.0,70.0,28.38658015,80.0,70.0
2024-01-04 07:00:00,5.0,70.0,57.328605652,80.0,70.0
2024-01-04 08:00:00,5.0,70.0,73.45128377416667,80.0,70.0
2024-01-04 09:00:00,5.0,70.0,60.742723676,80.0,70.0
2024-01-04 10:00:00,5.0,70.0,26.34718365166667,80.0,70.0
2024-01-04 11:00:00,5.0,70.0,14.917129939833334,80.0,70.0
2024-01-04 12:00:00,5.0,70.0,13.014299605333331,80.0,70.0
2024-01-04 13:00:00,5.0,70.0,11.7885801525,80.0,70.0
2024-01-04 14:00:00,5.0,70.0,10.738639830833334,80.0,70.0
2024-01-04 15:00:00,5.0,70.0,10.164716509866668,80.0,70.0
2024-01-04 16:00:00,5.0,70.0,10.018257565383331,80.0,70.0
2024-01-04 17:00:00,5.0,70.0,10.161546071349996,80.0,70.0
2024-01-04 18:00:00,5.0,70.0,10.341591305,80.0,70.0
2024-01-04 19:00:00,5.0,70.0,10.545719993833334,80.0,70.0
2024-01-04 20:00:00,5.0,70.0,10.933598412666669,80.0,70.0
2024-01-04 21:00:00,5.0,70.0,11.285455491333334,80.0,70.0
2024-01-04 22:00:00,5.0,70.0,11.413430108166668,80.0,70.0
2024-01-04 23:00:00,5.0,70.0,11.545134650333331,80.0,70.0
2024-01-05 00:00:00,5.0,70.0,11.605593363,80.0,70.0
2024-01-05 01:00:00,5.0,70.0,11.737867991666668,80.0,70.0
2024-01-05 02:00:00,5.0,70.0,11.825033824333332,80.0,70.0
2024-01-05 03:00:00,5.0,70.0,12.188328637,80.0,70.0
2024-01-05 04:00:00,5.0,70.0,12.386879391166667,80.0,70.0
2024-01-05 05:00:00,5.0,70.0,9.007127549883327,80.0,70.0
2024-01-05 06:00:00,5.0,70.0,6.618124644099998,80.0,70.0
2024-01-05 07:00:00,5.0,70.0,5.055334303016666,80.0,70.0
2024-01-05 08:00:00,5.0,70.0,3.986994425350001,80.0,70.0
2024-01-05 09:00:00,5.0,70.0,4.029663933516662,80.0,70.0
2024-01-05 10:00:00,5.0,70.0,4.078951941533335,80.0,70.0
2024-01-05 11:00:00,5.0,70.0,4.084076351633336,80.0,70.0
2024-01-05 12:00:00,5.0,70.0,4.094380272666664,80.0,70.0
2024-01-05 13:00:00,5.0,70.0,4.036494360899999,80.0,70.0
2024-01-05 14:00:00,5.0,70.0,4.003921084833336,80.0,70.0
2024-01-05 15:00:00,5.0,70.0,3.981490665149999,80.0,70.0
2024-01-05 16:00:00,5.0,70.0,3.950754801499999,80.0,70.0
2024-01-05 17:00:00,5.0,70.0,3.986676534050001,80.0,70.0
2024-01-05 18:00:00,5.0,70.0,12.571125030916669,80.0,70.0
2024-01-05 19:00:00,5.0,70.0,6.251951853383336,80.0,70.0
2024-01-05 20:00:00,5.0,70.0,4.158954620383333,80.0,70.0
2024-01-05 21:00:00,5.0,70.0,4.190146128433334,80.0,70.0
2024-01-05 22:00:00,5.0,70.0,4.246222178133334,80.0,70.0
2024-01-05 23:00:00,5.0,70.0,4.267022874566669,80.0,70.0
2024-01-06 00:00:00,5.0,70.0,4.269381628983336,80.0,70.0
2024-01-06 01:00:00,5.0,70.0,4.292106628450001,80.0,70.0
2024-01-06 02:00:00,5.0,70.0,4.251259697733333,80.0,70.0
