DateTime,REG_P_LAST(KW),REG_NIVA_LAST(m),REG_NIVA_PV(m),REG_P_PV(KW),AGC_DB_SP
2024-01-08 21:00:00,5750.0,-0.5,-0.5,5850.657142866667,0.0
2024-01-08 22:00:00,6000.0,-0.5,-0.5,6000.0,0.0
2024-01-08 23:00:00,6000.0,-0.5,-0.5,6000.0,0.0
2024-01-09 00:00:00,6000.0,-0.5,-0.5,6000.0,0.0
2024-01-09 01:00:00,6000.0,-0.5,-0.5,6000.0,0.0
2024-01-09 02:00:00,6000.0,-0.5,-0.5,6000.0,0.0
2024-01-09 03:00:00,6000.0,-0.5,-0.5,6000.0,0.0
2024-01-09 04:00:00,6000.0,-0.5,-0.5,6000.0,0.0
2024-01-09 05:00:00,6000.0,-0.5,-0.5,6000.0,0.0
2024-01-09 06:00:00,6000.0,-0.5,-0.5,6000.0,0.0
2024-01-09 07:00:00,6000.0,-0.2799999993299993,-0.2211666658528334,5953.825033233334,0.0
2024-01-09 08:00:00,6000.0,-0.0589999986823334,-0.0589999986823334,5412.1706584,0.0
2024-01-09 09:00:00,6000.0,-0.0589999986823334,-0.0589999986823334,4412.289298533334,5.866666666666666
2024-01-09 10:00:00,6000.0,-0.0589999986823334,-0.0626666653596667,3881.695626283333,6.0
2024-01-09 11:00:00,6000.0,-0.0589999986823334,-0.0589999986823334,3906.2757462166655,6.0
2024-01-09 12:00:00,6000.0,-0.0589999986823334,-0.0809999987493333,3893.6596967166665,6.0
2024-01-09 13:00:00,6000.0,-0.0589999986823334,-0.0589999986823334,3915.5235465166666,6.0
2024-01-09 14:00:00,6000.0,-0.0589999986823334,-0.0589999986823334,3917.364714,6.0
2024-01-09 15:00:00,6000.0,-0.0589999986823334,-0.0589999986823334,3915.129167683333,6.0
2024-01-09 16:00:00,6000.0,-0.0589999986823334,-0.0589999986823334,3916.3872062,6.0
2024-01-09 17:00:00,6000.0,-0.0589999986823334,-0.0589999986823334,5897.625079833333,6.0
2024-01-09 18:00:00,6000.0,-0.0589999986823334,-0.0589999986823334,6000.0,6.0
2024-01-09 19:00:00,6000.0,-0.0589999986823334,-0.0589999986823334,6000.0,6.0
2024-01-09 20:00:00,6000.0,-0.0589999986823334,-0.0589999986823334,6000.0,0.1
2024-01-09 21:00:00,6000.0,-0.05999999866,-0.05999999866,5982.635272216667,0.0
2024-01-09 22:00:00,6000.0,-0.05999999866,-0.05999999866,6000.0,0.0
2024-01-09 23:00:00,6000.0,-0.05999999866,-0.05999999866,6000.0,0.0
